Название модели;Цена;Производитель;Тип;Способ установки;Мощность;Давление;Объем воды;Используемый кофе;Вес;Цвет;Наличие мельницы;Степень помола;cappuccino;Дисплей;Система самоочистки;Ссылки на изображения;Огляд
0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
Bosch Tassimo Vivy 2 TAS1402;1575;Bosch;капсульна кавоварка еспресо;настільна;1200;;0.7;капсули;;чорний;;;есть;есть;есть;2084850855;Компактна кавоварка BOSCH Tassimo Vivy2 TAS1402 зможе розміститися на будь-якій кухні. Модель чорного кольору з пластиковим корпусом має потужність 1300 Вт і відноситься до енергоефективних. Для приготування напою використовується капсула (диск), на який нанесений штрих-код, зчитування за допомогою інтелектуальної технології Tassimo. Після чого визначається оптимальна кількість води, температура приготування і час заварки. Капсули містять наповнювачі натуральної кави з добавками. Сервісний Т-диск допомагає автоматично очистити Tassimo і видалити накип. Для зручності резервуар для води (обсяг 0,7 л) виконаний легкоз’ємним.
Bosch TKA6A043;1580;Bosch;крапельна кавоварка;настільна;1200;;0.75;мелена;2.2;чорний;;;;;есть;2094155765;Функція автовідключення автоматично відключає прилад, роблячи його використання ще простіше і безпечніше. З функцією Крапля-стоп піддон кавоварки завжди залишається чистим, так як жодна крапля не впаде в нього.
Bosch CTL636EB1;54443;Bosch;кавоварка автоматична;вбудована;1600;19;2.4;зерна, мелена;19.81;чорний;есть;есть;есть;есть;есть;2108097075;Вбудована автоматична кавоварка Bosch CTL636EB1, потужністю в 1600 Вт, приємно порадує неймовірно смачними напоями, приготованими зі строгим дотриманням усіх технологій. Для зручності управління Bosch CTL636EB1 оснащена TFT-дисплеєм з інтерактивним меню, за допомогою якого Ви зможете використовувати весь її функціонал. Ця модель дозволяє працювати з функцією «Моя кава», зберігаючи до 8 рецептів, налаштовувати кількість напою, регулювати висоту сопла, готувати відразу два напої, використовувати 2,4 л резервуар для води, підключати резервуар або ємність з молоком, регулювати ступінь помелу кавових зерен і блокувати прилад від дітей. Варто звернути увагу на робочий тиск Bosch CTL636EB1 у 19 бар, наявність керамічного млина, швидкий розігрів, а також простоту і зручність догляду за рахунок передбачених автоматичних функцій та сучасних систем.
Bosch Tassimo Happy TAS1007;1338;Bosch;капсульна кавоварка еспресо;настільна;1400;;0.7;капсули;2.112;бежевий;;;есть;;есть;2126794175;Кофемашина Tassimo считывает штрих-код, нанесенный на каждую капсулу (Т-диск), и автоматически определяет точную информацию для приготовления идеального напитка: количество воды, время заваривания, температура. Автоматическое отключение после цикла заваривания. Программа автоматической очистки и удаления накипи. Регулировка под размер чашки. Резервуар для воды легко снять и наполнить. Световая индикация режимов работы: режим ожидания, автоматический режим, ручной режим, наполнить емкость водой, запустить режим очистки. Съемная подставка для чашки с поддоном из нержавеющей стали регулируется по высоте или полностью убирается.
Bosch TAS3202 Tassimo Suny;1401;Bosch;капсульна кавоварка еспресо;настільна;1300;3.3;0.8;капсули;2.74;чорний;;;есть;;есть;1938497015;SmartStart. Технология T DISC: регулирует объем воды, температуру, время приготовления и автоматически останавливается, когда напиток готов. Автоотключение. Индикатор уровня воды. Индикация отсутствия воды. Индикация включения. Индикация готовности к работе. Индикация необходимости очистки.
Bosch Tassimo My Way TAS6004;2025;Bosch;капсульна кавоварка еспресо;настільна;1500;;1.3;капсули;;білий;;;есть;есть;есть;2049422615;Кофемашина считывает штрих-код, нанесенный на каждую капсулу (Т-диск), и автоматически определяет точную информацию для приготовления идеального напитка: количество воды, время заваривания, температура. Возможность выбора и сохранения персональных настроек крепости, температуры и объема напитка. Проточный водонагреватель обеспечивает быструю готовность к работе, оптимальный режим приготовления выбранного напитка, а также являются энергоэкономичными.
Bosch TIS30321RW;12433;Bosch;кавоварка автоматична;настільна;1300;15;1.4;зерна;7.2;сріблястий;есть;есть;есть;есть;есть;2091849805;Быстрый разогрев системы. Высота капучинатора регулируется до 15 см. Intelligent Heater inside с сенсорами температуры. Керамические жернова.
Bosch TES60523RW VeroAroma 500;17159;Bosch;кавоварка автоматична;настільна;1500;19;1.7;зерна, мелена;9.6;сріблястий;есть;есть;есть;есть;есть;1486509605;Современная кофемашина Bosch TES60523RW VeroAroma 500 – это многофункциональная модель, которая позволит приготовить вкусный напиток как из цельных, так и ранее молотых зерен кофе. Bosch TES60523RW VeroAroma 500 имеет внешне привлекательный для потребителя дизайн и хорошую функциональность. В ней предусмотрено наличие мельницы, с возможностью выбора степени помола, дисплея для удобства управления и контроля ее работы, 1,7 л резервуара для воды. Она работает с давлением в 19 бар, позволяя регулировать крепость напитка, объем порции, использовать функции для приготовления капучино, подачу горячей воды и подогрев чашек. Помимо этого, в Bosch TES60523RW VeroAroma 500 есть дренажный отсек для капель, система самоочистки и возможность одновременного приготовления двух чашек ароматного напитка
Bosch TES60729RW;18888;Bosch;кавоварка автоматична;настільна;1501;20;2.7;зерна, мелена;;сріблястий;есть;есть;есть;есть;;2128223315;"Высококачественная кофемолка из прочной керамики. Одновременное приготовление напитков с молоком сразу для 2-х чашек. Чистка молочной системы нажатием одной кнопки. Индивидуальная регулировка температуры напитка: кофе (3 уровня). Заблаговременное предупреждение ""контейнер для воды почти пуст"", ""отсек для зерен почти пуст"". Возможность использовать емкость для молока или любой другой контейнер, например пакет с молоком. Подсветка кнопок, подсветка чашек. Блокировка от детей. Отсек для кабеля (длина кабеля 1 м). В комплекте: мерная ложка, тест-полоска для определения жесткости воды, соединительная трубка для каппучинатора."
